                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.66829,                0.45752,                 1.0737,                0.90067,                 0.8013,                0.84405,                0.62544,                 1.0479,                0.61253,                 1.4604,              0.0005348,              0.0005348,              0.0005348
                     77,                0.65989,                0.46432,                 1.0764,                 0.9268,                0.79153,                0.84677,                0.61864,                 1.0524,                0.61965,                 1.4874,               0.000515,               0.000515,               0.000515
                     78,                0.65951,                0.45935,                 1.0752,                0.90784,                0.78502,                  0.836,                0.62343,                 1.0382,                 0.6246,                 1.4366,              0.0004952,              0.0004952,              0.0004952
                     79,                0.65409,                0.44881,                 1.0636,                0.92044,                0.79132,                0.84196,                0.61991,                 1.0522,                0.63425,                 1.4742,              0.0004754,              0.0004754,              0.0004754
                     80,                0.64085,                0.44106,                 1.0638,                0.88665,                0.81532,                0.84373,                0.62577,                 1.0631,                 0.6297,                 1.4817,              0.0004556,              0.0004556,              0.0004556
                     81,                0.64561,                0.44334,                 1.0647,                0.87855,                0.83062,                0.84067,                0.62063,                 1.0692,                0.62738,                 1.4828,              0.0004358,              0.0004358,              0.0004358
                     82,                0.64304,                0.44544,                 1.0586,                0.92528,                0.78827,                0.84411,                0.62935,                 1.0455,                0.62594,                 1.4601,               0.000416,               0.000416,               0.000416
                     83,                0.64145,                0.43521,                 1.0578,                0.92385,                0.79036,                0.84169,                0.62147,                  1.059,                0.63557,                 1.4748,              0.0003962,              0.0003962,              0.0003962
                     84,                0.63693,                0.43652,                 1.0573,                0.90753,                 0.7992,                0.84709,                0.62801,                 1.0539,                0.62487,                 1.4798,              0.0003764,              0.0003764,              0.0003764
                     85,                0.62906,                0.43306,                 1.0534,                0.90489,                0.80456,                0.84181,                0.61784,                 1.0613,                0.62503,                 1.4821,              0.0003566,              0.0003566,              0.0003566
                     86,                0.62866,                0.43186,                  1.057,                0.89227,                0.81759,                0.84585,                0.62776,                 1.0539,                0.61972,                 1.4909,              0.0003368,              0.0003368,              0.0003368
                     87,                0.61828,                0.42261,                 1.0491,                0.90291,                0.81107,                0.84101,                0.62493,                 1.0549,                0.61981,                 1.4958,               0.000317,               0.000317,               0.000317
                     88,                 0.6165,                0.41992,                 1.0436,                0.89377,                0.81759,                0.84333,                0.62702,                 1.0397,                0.60628,                 1.4869,              0.0002972,              0.0002972,              0.0002972
                     89,                0.62447,                0.43122,                 1.0511,                0.88406,                0.82085,                 0.8429,                0.62423,                 1.0594,                0.61229,                 1.5077,              0.0002774,              0.0002774,              0.0002774
                     90,                0.60837,                 0.4188,                 1.0421,                0.88103,                0.82085,                0.84554,                0.62529,                 1.0626,                0.63826,                 1.5187,              0.0002576,              0.0002576,              0.0002576
                     91,                0.57808,                0.35482,                 1.0212,                0.89957,                 0.8169,                0.84475,                0.63236,                 1.0519,                0.61704,                 1.4974,              0.0002378,              0.0002378,              0.0002378
                     92,                0.56925,                 0.3358,                 1.0142,                 0.9075,                0.80456,                0.84247,                0.62209,                 1.0619,                0.62528,                 1.5196,               0.000218,               0.000218,               0.000218
                     93,                0.56473,                0.33261,                  1.013,                0.88905,                0.80918,                0.83733,                 0.6188,                 1.0649,                0.62857,                 1.5124,              0.0001982,              0.0001982,              0.0001982
                     94,                0.55359,                0.32659,                 1.0068,                0.91751,                0.78827,                0.83334,                0.62173,                 1.0609,                0.63329,                 1.5111,              0.0001784,              0.0001784,              0.0001784
                     95,                0.55244,                0.32293,                 1.0003,                0.91662,                0.79153,                0.83002,                0.62247,                  1.048,                0.62225,                 1.5128,              0.0001586,              0.0001586,              0.0001586
                     96,                0.54426,                0.31772,                0.99152,                0.90556,                0.79805,                0.82933,                 0.6212,                 1.0433,                0.62609,                 1.5165,              0.0001388,              0.0001388,              0.0001388
                     97,                0.53537,                0.31881,                0.99074,                0.90693,                0.79353,                0.82553,                0.62073,                 1.0376,                0.63194,                 1.5163,               0.000119,               0.000119,               0.000119
                     98,                0.53201,                0.31177,                0.99299,                0.92092,                0.78502,                0.83188,                0.62487,                 1.0452,                0.63303,                 1.5158,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.53345,                0.31196,                0.98861,                0.92405,                0.78827,                0.82782,                0.62065,                   1.05,                0.63387,                 1.5276,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.52382,                0.30593,                0.98699,                0.92337,                0.78176,                0.82989,                0.62289,                 1.0377,                0.62876,                 1.5195,               5.96e-05,               5.96e-05,               5.96e-05
